run_type,video_id,gt_name,categories,gen_nodes,gt_nodes,node_count_ratio,svc_precision,svc_recall,svc_f1,ms_precision,ms_recall,ms_f1,gen_edges,gt_edges,edge_precision,edge_recall,edge_f1,edge_type_accuracy,gen_workflows,gt_workflows,services_missing,services_hallucinated
Parsimonious API (data/graphs_parsimonious),D9qTotVJYss,HBO Max: Using Canaries for Outside-in Validation,data_ingestion,7,6,1.1667,0.7143,0.8333,0.7692,0.7143,0.8333,0.7692,6,10,0.6667,0.4000,0.5000,0.7500,2,2,UserCompanyAgent,"EventBridge,UserCompanyInternalPlatform"
Parsimonious API (data/graphs_parsimonious),QOtCpD23118,LeasePlan: Leverages Serverless to Increase Driver Safety Reduce Fleet Costs and Lower Risk,data_ingestion,11,11,1.0000,0.7500,0.7500,0.7500,0.8182,0.8182,0.8182,11,10,0.7273,0.8000,0.7619,1.0000,3,3,"ThirdParty,UserCompanyEdge","OnPremDC,UserConsumerIOT"
Parsimonious API (data/graphs_parsimonious),GoziWpmFCS0,iRobot: Serverless Data Cataloging for Data Scientists,data_ingestion,9,4,2.2500,0.6000,1.0000,0.7500,0.4444,1.0000,0.6154,11,2,0.1818,1.0000,0.3077,1.0000,3,1,,"UserCompanyDataStream,UserCompanyDomainExpert"
Parsimonious API (data/graphs_parsimonious),-3lnf5lzsH0,MakeMyTrip: Building Next Generation SOC,data_ingestion,9,13,0.6923,1.0000,0.5833,0.7368,0.8889,0.6154,0.7273,9,16,0.3333,0.1875,0.2400,1.0000,2,4,"CloudTrail,GuardDuty,SNS,SQS,ThirdParty",
Parsimonious API (data/graphs_parsimonious),7wBOFcP1HwA,Seera Group: Transforming Online Travel Booking with Microservices (Arabic),interactive,11,10,1.1000,0.7000,0.7778,0.7368,0.6364,0.7000,0.6667,8,10,0.5000,0.4000,0.4444,1.0000,2,3,"ELB,UserConsumerWeb","ALB,EC2,UserConsumerWebMobile"
Parsimonious API (data/graphs_parsimonious),DAJZAygxDZA,BASF Digital Farming: Productionizing ML with a Cross-Account Model Deployment Solution,control,9,8,1.1250,0.8000,0.6667,0.7273,0.5556,0.6250,0.5882,9,15,0.2222,0.1333,0.1667,1.0000,4,5,"ThirdParty,UserCompanyAnalyst",StepFunctions
Parsimonious API (data/graphs_parsimonious),2XVgpMwY5iE,Keen Eye: Building Deep Learning Models for Digital Pathology Image Analysis,data_ingestion,8,7,1.1429,0.7143,0.7143,0.7143,0.6250,0.7143,0.6667,9,12,0.5556,0.4167,0.4762,0.8000,2,3,"UserCompanyAgent,UserCompanyDataStream","ThirdParty,UserConsumerHospital"
Parsimonious API (data/graphs_parsimonious),4-teOQ_dJvY,SBB Cargo: Data Collection and Processing with Serverless Analytics Services,data_ingestion,10,9,1.1111,0.7143,0.7143,0.7143,0.7000,0.7778,0.7368,12,13,0.6667,0.6154,0.6400,0.8750,4,2,"UserCompanyAPI,UserCompanyEdge","ThirdParty,UserCompanyInternalPlatform"
Parsimonious API (data/graphs_parsimonious),3WgTBTDlQN8,FanFight: Building a Realtime Fantasy League Gaming Platform on AWS,"data_ingestion,interactive",9,9,1.0000,0.7500,0.6667,0.7059,0.6667,0.6667,0.6667,10,14,0.5000,0.3571,0.4167,0.8000,5,5,"EC2,UserCompanyAPI,UserConsumerMobile","ThirdParty,UserConsumerWebMobile"
Parsimonious API (data/graphs_parsimonious),8ZRWzn0G39g,Replicon: MultiTenant SaaS Solution with Bring Your Own Key BYOK Encryption for Enterprises,interactive,10,12,0.8333,0.7500,0.6667,0.7059,0.8000,0.6667,0.7273,9,38,0.7778,0.1842,0.2979,0.7143,2,2,"EC2,ECS,UserConsumerAPI","UserCompanyAPI,UserConsumerWeb"
Parsimonious API (data/graphs_parsimonious),BPvr0qWpJlA,ContactSuite: Automated Omni-Channel Service Desk Workflow,interactive,11,10,1.1000,0.6000,0.6667,0.6316,0.6364,0.7000,0.6667,9,9,0.3333,0.3333,0.3333,1.0000,3,5,"UserCompanyCRM,UserCompanyDataStream,UserConsumerMobile","EC2,SES,ThirdParty,UserConsumerWeb"
Parsimonious API (data/graphs_parsimonious),3yJZ6rPoZfg,Hexagon HxDR: Cloud-Based Visualization of Spatial Data,compute_intensive,8,7,1.1429,0.5000,0.5000,0.5000,0.5000,0.5714,0.5333,8,9,0.2500,0.2222,0.2353,1.0000,2,2,"EC2,UserConsumerEdge,VPC","AutoScaling,UserConsumerWebMobile,VPCPeering"
Parsimonious API (data/graphs_parsimonious),BgT_bDAejSQ,GoDaddy: Empowering Agility with ZeroTrust Environment Best Practices,control,9,2,4.5000,0.1667,1.0000,0.2857,0.2222,1.0000,0.3636,6,1,0.0000,0.0000,0.0000,0.0000,3,1,,"ALB,NAT,OnPremDC,UserCompanyDeveloper,WAF"
